image_path,label
D:\ĐA\Dataset\corn\Cercospora_leaf_spot\Cercospora_leaf_spot (1).JPG,corn_Cercospora_leaf_spot
D:\ĐA\Dataset\corn\Cercospora_leaf_spot\Cercospora_leaf_spot (10).JPG,corn_Cercospora_leaf_spot
D:\ĐA\Dataset\corn\Cercospora_leaf_spot\Cercospora_leaf_spot (100).jpg,corn_Cercospora_leaf_spot
D:\ĐA\Dataset\corn\Cercospora_leaf_spot\Cercospora_leaf_spot (1000).JPG,corn_Cercospora_leaf_spot
D:\ĐA\Dataset\corn\Cercospora_leaf_spot\Cercospora_leaf_spot (1001).JPG,corn_Cercospora_leaf_spot
D:\ĐA\Dataset\corn\Cercospora_leaf_spot\Cercospora_leaf_spot (1002).JPG,corn_Cercospora_leaf_spot
D:\ĐA\Dataset\corn\Cercospora_leaf_spot\Cercospora_leaf_spot (1003).JPG,corn_Cercospora_leaf_spot
D:\ĐA\Dataset\corn\Cercospora_leaf_spot\Cercospora_leaf_spot (1004).jpg,corn_Cercospora_leaf_spot
D:\ĐA\Dataset\corn\Cercospora_leaf_spot\Cercospora_leaf_spot (1005).jpg,corn_Cercospora_leaf_spot
D:\ĐA\Dataset\corn\Cercospora_leaf_spot\Cercospora_leaf_spot (1006).jpg,corn_Cercospora_leaf_spot
D:\ĐA\Dataset\corn\Cercospora_leaf_spot\Cercospora_leaf_spot (1007).jpg,corn_Cercospora_leaf_spot
D:\ĐA\Dataset\corn\Cercospora_leaf_spot\Cercospora_leaf_spot (1008).jpg,corn_Cercospora_leaf_spot
D:\ĐA\Dataset\corn\Cercospora_leaf_spot\Cercospora_leaf_spot (1009).JPG,corn_Cercospora_leaf_spot
D:\ĐA\Dataset\corn\Cercospora_leaf_spot\Cercospora_leaf_spot (101).JPG,corn_Cercospora_leaf_spot
D:\ĐA\Dataset\corn\Cercospora_leaf_spot\Cercospora_leaf_spot (1010).JPG,corn_Cercospora_leaf_spot
D:\ĐA\Dataset\corn\Cercospora_leaf_spot\Cercospora_leaf_spot (1011).JPG,corn_Cercospora_leaf_spot
D:\ĐA\Dataset\corn\Cercospora_leaf_spot\Cercospora_leaf_spot (1012).JPG,corn_Cercospora_leaf_spot
D:\ĐA\Dataset\corn\Cercospora_leaf_spot\Cercospora_leaf_spot (1013).JPG,corn_Cercospora_leaf_spot
D:\ĐA\Dataset\corn\Cercospora_leaf_spot\Cercospora_leaf_spot (1014).JPG,corn_Cercospora_leaf_spot
D:\ĐA\Dataset\corn\Cercospora_leaf_spot\Cercospora_leaf_spot (1015).JPG,corn_Cercospora_leaf_spot
D:\ĐA\Dataset\corn\Cercospora_leaf_spot\Cercospora_leaf_spot (1016).JPG,corn_Cercospora_leaf_spot
D:\ĐA\Dataset\corn\Cercospora_leaf_spot\Cercospora_leaf_spot (1017).JPG,corn_Cercospora_leaf_spot
D:\ĐA\Dataset\corn\Cercospora_leaf_spot\Cercospora_leaf_spot (1018).JPG,corn_Cercospora_leaf_spot
D:\ĐA\Dataset\corn\Cercospora_leaf_spot\Cercospora_leaf_spot (1019).JPG,corn_Cercospora_leaf_spot
D:\ĐA\Dataset\corn\Cercospora_leaf_spot\Cercospora_leaf_spot (102).JPG,corn_Cercospora_leaf_spot
D:\ĐA\Dataset\corn\Cercospora_leaf_spot\Cercospora_leaf_spot (1020).JPG,corn_Cercospora_leaf_spot
D:\ĐA\Dataset\corn\Cercospora_leaf_spot\Cercospora_leaf_spot (1021).JPG,corn_Cercospora_leaf_spot
D:\ĐA\Dataset\corn\Cercospora_leaf_spot\Cercospora_leaf_spot (1022).jpg,corn_Cercospora_leaf_spot
D:\ĐA\Dataset\corn\Cercospora_leaf_spot\Cercospora_leaf_spot (1023).jpg,corn_Cercospora_leaf_spot
D:\ĐA\Dataset\corn\Cercospora_leaf_spot\Cercospora_leaf_spot (1024).jpg,corn_Cercospora_leaf_spot
D:\ĐA\Dataset\corn\Cercospora_leaf_spot\Cercospora_leaf_spot (1025).JPG,corn_Cercospora_leaf_spot
D:\ĐA\Dataset\corn\Cercospora_leaf_spot\Cercospora_leaf_spot (1026).JPG,corn_Cercospora_leaf_spot
D:\ĐA\Dataset\corn\Cercospora_leaf_spot\Cercospora_leaf_spot (1027).JPG,corn_Cercospora_leaf_spot
D:\ĐA\Dataset\corn\Cercospora_leaf_spot\Cercospora_leaf_spot (1028).JPG,corn_Cercospora_leaf_spot
D:\ĐA\Dataset\corn\Cercospora_leaf_spot\Cercospora_leaf_spot (1029).JPG,corn_Cercospora_leaf_spot
D:\ĐA\Dataset\corn\Cercospora_leaf_spot\Cercospora_leaf_spot (103).JPG,corn_Cercospora_leaf_spot
D:\ĐA\Dataset\corn\Cercospora_leaf_spot\Cercospora_leaf_spot (1030).JPG,corn_Cercospora_leaf_spot
D:\ĐA\Dataset\corn\Cercospora_leaf_spot\Cercospora_leaf_spot (1031).JPG,corn_Cercospora_leaf_spot
D:\ĐA\Dataset\corn\Cercospora_leaf_spot\Cercospora_leaf_spot (1032).JPG,corn_Cercospora_leaf_spot
D:\ĐA\Dataset\corn\Cercospora_leaf_spot\Cercospora_leaf_spot (1033).JPG,corn_Cercospora_leaf_spot
D:\ĐA\Dataset\corn\Cercospora_leaf_spot\Cercospora_leaf_spot (1034).JPG,corn_Cercospora_leaf_spot
D:\ĐA\Dataset\corn\Cercospora_leaf_spot\Cercospora_leaf_spot (1035).JPG,corn_Cercospora_leaf_spot
D:\ĐA\Dataset\corn\Cercospora_leaf_spot\Cercospora_leaf_spot (1036).JPG,corn_Cercospora_leaf_spot
D:\ĐA\Dataset\corn\Cercospora_leaf_spot\Cercospora_leaf_spot (1037).JPG,corn_Cercospora_leaf_spot
D:\ĐA\Dataset\corn\Cercospora_leaf_spot\Cercospora_leaf_spot (1038).JPG,corn_Cercospora_leaf_spot
D:\ĐA\Dataset\corn\Cercospora_leaf_spot\Cercospora_leaf_spot (1039).JPG,corn_Cercospora_leaf_spot
D:\ĐA\Dataset\corn\Cercospora_leaf_spot\Cercospora_leaf_spot (104).JPG,corn_Cercospora_leaf_spot
D:\ĐA\Dataset\corn\Cercospora_leaf_spot\Cercospora_leaf_spot (1040).JPG,corn_Cercospora_leaf_spot
